values,names,province,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
3,shape,all,0,0,10,0.1,2.5,3.5
3,scale,all,0,0,10,0.1,2.5,3.5
500,size,all,1,5,10000,0.1,5,10000
2.5,weibull_alpha,all,0,0,100,0.1,2,3
6.5,weibull_sigma,all,0,0,100,0.1,6,7
54,imports_stop,all,1,0,100,0.1,0,100
1,export_prob,all,1,0,2,0.1,0,2
4,serial_interval,all,1,0,10,0.1,0,10
1.4,lnorm_mean,all,1,0,10,0.1,0,10
0.466,lnorm_sd,all,1,0,10,0.1,0,10
5.23,serial_interval_gamma_par1,all,1,0,10,0.1,0,10
0.87,serial_interval_gamma_par2,all,1,0,10,0.1,0,10
48,t_switch,all,1,0,100,0.1,0,100
100000,K,all,0,60000,1000000,1,60000,1000000
0.25,growth_rate,1,1,0,0.5,0.1,0.1,0.12
1,i0,1,1,0,100,0.1,1,1
37,t0,1,1,0,62,0.1,31,40
0,local_r,1,1,0,1,0.1,0,1
0,growth_rate,2,1,0,0.5,0.1,0.05,0.15
0,i0,2,1,0,1,0.1,1,1
1e-5,t0,2,1,0,40,0.1,10,40
0.2016819310374558,local_r,2,0,0,10,0.1,0,1
0,growth_rate,3,1,0,0.5,0.1,0.05,0.15
0,i0,3,1,0,1,0.1,1,1
1e-5,t0,3,1,0,40,0.1,10,40
0.6607977924868464,local_r,3,0,0,10,0.1,0,1
0,growth_rate,4,1,0,0.5,0.1,0.05,0.15
0,i0,4,1,0,1,0.1,1,1
1e-5,t0,4,1,0,40,0.1,10,40
0.20597457489930093,local_r,4,0,0,10,0.1,0,1
0,growth_rate,5,1,0,0.5,0.1,0.05,0.15
0,i0,5,1,0,1,0.1,1,1
1e-5,t0,5,1,0,40,0.1,10,40
0.384103718213737,local_r,5,0,0,10,0.1,0,1
0,growth_rate,6,1,0,0.5,0.1,0.05,0.15
0,i0,6,1,0,1,0.1,1,1
1e-5,t0,6,1,0,40,0.1,10,40
0.7176185082644224,local_r,6,0,0,10,0.1,0,1
0,growth_rate,7,1,0,0.5,0.1,0.05,0.15
0,i0,7,1,0,1,0.1,1,1
1e-5,t0,7,1,0,40,0.1,10,40
0.7774452213197947,local_r,7,0,0,10,0.1,0,1
0,growth_rate,8,1,0,0.5,0.1,0.05,0.15
0,i0,8,1,0,1,0.1,1,1
1e-5,t0,8,1,0,40,0.1,10,40
0.651673766085878,local_r,8,0,0,10,0.1,0,1
0,growth_rate,9,1,0,0.5,0.1,0.05,0.15
0,i0,9,1,0,1,0.1,1,1
1e-5,t0,9,1,0,40,0.1,10,40
0.3861140925437212,local_r,9,0,0,10,0.1,0,1
0,growth_rate,10,1,0,0.5,0.1,0.05,0.15
0,i0,10,1,0,1,0.1,1,1
1e-5,t0,10,1,0,40,0.1,10,40
0.86969084572047,local_r,10,0,0,10,0.1,0,1
0,growth_rate,11,1,0,0.5,0.1,0.05,0.15
0,i0,11,1,0,1,0.1,1,1
1e-5,t0,11,1,0,40,0.1,10,40
0.5995658254250884,local_r,11,0,0,10,0.1,0,1
0,growth_rate,12,1,0,0.5,0.1,0.05,0.15
0,i0,12,1,0,1,0.1,1,1
1e-5,t0,12,1,0,40,0.1,10,40
0.8273733186069876,local_r,12,0,0,10,0.1,0,1
0,growth_rate,13,1,0,0.5,0.1,0.05,0.15
0,i0,13,1,0,1,0.1,1,1
1e-5,t0,13,1,0,40,0.1,10,40
0.10794362588785589,local_r,13,0,0,10,0.1,0,1
0,growth_rate,14,1,0,0.5,0.1,0.05,0.15
0,i0,14,1,0,1,0.1,1,1
1e-5,t0,14,1,0,40,0.1,10,40
0.8209462941158563,local_r,14,0,0,10,0.1,0,1
0,growth_rate,15,1,0,0.5,0.1,0.05,0.15
0,i0,15,1,0,1,0.1,1,1
1e-5,t0,15,1,0,40,0.1,10,40
0.5530363116413355,local_r,15,0,0,10,0.1,0,1
0,growth_rate,16,1,0,0.5,0.1,0.05,0.15
0,i0,16,1,0,1,0.1,1,1
1e-5,t0,16,1,0,40,0.1,10,40
0.023331202333793044,local_r,16,0,0,10,0.1,0,1
0,growth_rate,17,1,0,0.5,0.1,0.05,0.15
0,i0,17,1,0,1,0.1,1,1
1e-5,t0,17,1,0,40,0.1,10,40
0.6927315564826131,local_r,17,0,0,10,0.1,0,1
0,growth_rate,18,1,0,0.5,0.1,0.05,0.15
0,i0,18,1,0,1,0.1,1,1
1e-5,t0,18,1,0,40,0.1,10,40
0.4380971072241664,local_r,18,0,0,10,0.1,0,1
0,growth_rate,19,1,0,0.5,0.1,0.05,0.15
0,i0,19,1,0,1,0.1,1,1
1e-5,t0,19,1,0,40,0.1,10,40
0.09946616017259657,local_r,19,0,0,10,0.1,0,1
0,growth_rate,20,1,0,0.5,0.1,0.05,0.15
0,i0,20,1,0,1,0.1,1,1
1e-5,t0,20,1,0,40,0.1,10,40
0.6620050764176995,local_r,20,0,0,10,0.1,0,1
0,growth_rate,21,1,0,0.5,0.1,0.05,0.15
0,i0,21,1,0,1,0.1,1,1
1e-5,t0,21,1,0,40,0.1,10,40
0.29360337276011705,local_r,21,0,0,10,0.1,0,1
0,growth_rate,22,1,0,0.5,0.1,0.05,0.15
0,i0,22,1,0,1,0.1,1,1
1e-5,t0,22,1,0,40,0.1,10,40
0.6508704670704901,local_r,22,0,0,10,0.1,0,1
0,growth_rate,23,1,0,0.5,0.1,0.05,0.15
0,i0,23,1,0,1,0.1,1,1
1e-5,t0,23,1,0,40,0.1,10,40
0.7663106706459075,local_r,23,0,0,10,0.1,0,1
0,growth_rate,24,1,0,0.5,0.1,0.05,0.15
0,i0,24,1,0,1,0.1,1,1
1e-5,t0,24,1,0,40,0.1,10,40
0.33907293784432113,local_r,24,0,0,10,0.1,0,1
0,growth_rate,25,1,0,0.5,0.1,0.05,0.15
0,i0,25,1,0,1,0.1,1,1
1e-5,t0,25,1,0,40,0.1,10,40
0.3337749307975173,local_r,25,0,0,10,0.1,0,1
0,growth_rate,26,1,0,0.5,0.1,0.05,0.15
0,i0,26,1,0,1,0.1,1,1
1e-5,t0,26,1,0,40,0.1,10,40
0.8643394706305116,local_r,26,0,0,10,0.1,0,1
